locus_tag	gene_name	description	type	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_024800	virB	Virulence regulon transcriptional activator VirB	CDS	2.86162835043914	9.09724850903502	3.04936943722039e-10	1.17065292694891e-06	5.9315718446826
EKN05_024680	mxiC	YopN family type III secretion system gatekeeper subunit	CDS	1.86194895669897	9.32587195187935	2.73506512308545e-09	5.24995750376253e-06	5.27984421201426
EKN05_024690	mxiE	helix-turn-helix domain-containing protein	CDS	2.53138066194507	7.67538424754214	1.55169894321751e-08	1.98565741433734e-05	4.70209567824593
EKN05_024535	pWR501_0185	transposase	CDS	1.43787856321588	5.90063399915301	8.68945445968548e-08	8.33970391768314e-05	4.07884936773144
EKN05_024675	mxiA	EscV/YscV/HrcV family type III secretion system export apparatus protein	CDS	1.42737083332046	9.8215688503965	2.43740968250931e-07	0.000187144315423065	3.72782336020272
EKN05_024575	EKN05_024575	IS630 family transposase	pseudo	1.19236456220029	7.66093204742491	1.12555499916712e-06	0.000720167606967096	3.14256641702726
EKN05_023925	ospD1	hypothetical protein	CDS	1.46144200298911	7.95642931861391	2.67047510361459e-06	0.00145689206272906	2.83657262276508
EKN05_024715	mxiJ	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein	CDS	1.93452411717889	7.81873811617337	3.57471190939615e-06	0.00145689206272906	2.83657262276508
EKN05_024660	spa13	surface presentation of antigens protein SpaM	CDS	2.42461012214653	6.13773066125012	3.66156312735044e-06	0.00145689206272906	2.83657262276508
EKN05_007370	EKN05_007370	IS1 family transposase	pseudo	-1.70764646481661	3.5880374945626	3.79497802221689e-06	0.00145689206272906	2.83657262276508
EKN05_024655	spa32	surface presentation of antigens protein SpaN	CDS	2.1249083452433	7.37828311198219	6.31101669454055e-06	0.00220254482639465	2.65707524402478
EKN05_011710	ompF	porin OmpF	CDS	-0.930774341269099	10.4681830674921	9.00723604851745e-06	0.00288156493252154	2.54037158968038
EKN05_024650	spa33	surface presentation of antigens protein SpaO	CDS	1.59658343829389	7.97115710323005	1.03126873447069e-05	0.00304541590125613	2.51635338897973
EKN05_005155	EKN05_005155	hypothetical protein	CDS	-1.02239614262562	9.2272893654408	1.73948740547719e-05	0.00476992296401923	2.32148863491618
EKN05_024710	mxiK	type III secretion apparatus protein OrgA/MxiK	CDS	2.746882899465	6.89605581456567	1.94648410533139e-05	0.00498170165357814	2.30262228524683
EKN05_024665	spa47	FliI/YscN family ATPase	CDS	1.88638982856266	8.38314346897179	2.31675810407344e-05	0.00540312800484666	2.26735474352132
EKN05_024625	spa-orf10	hypothetical protein	CDS	1.61834919170258	6.12286930125583	2.39263287529026e-05	0.00540312800484666	2.26735474352132
EKN05_024795	acp	acyl carrier protein	CDS	1.36890312195382	8.0969236457889	3.99167933689158e-05	0.0085133649857371	2.06989874709703
EKN05_024630	spa40	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	CDS	1.33403955361042	7.15927367109407	5.49295331168772e-05	0.011098656717668	1.95472958115988
EKN05_023775	ospE2	hypothetical protein	CDS	1.15422760619324	7.96863154389468	5.86801123057767e-05	0.0112636475570938	1.9483209471938
EKN05_019245	mtlR	transcriptional repressor MtlR	CDS	0.632221248191494	7.85633275579693	8.62885425535343e-05	0.0149962161224791	1.82401830923984
EKN05_023795	pWR501_0049	IS3 family transposase	pseudo	0.656219082267604	6.12960889251261	8.68858905365179e-05	0.0149962161224791	1.82401830923984
EKN05_023785	virF	AraC family invasion system transcriptional regulator VirF	CDS	1.04884726786506	8.60754714735318	8.9844483151086e-05	0.0149962161224791	1.82401830923984
EKN05_024340	pWR501_0230	IS66 family transposase	pseudo	0.628576244364773	9.17102430778484	0.000100489508541406	0.016074134303769	1.79387240734434
EKN05_024730	mxiG	protein MxiG	CDS	1.22869422640845	8.33618798915663	0.00016158004330692	0.0248122314502107	1.60533417635922
EKN05_022195	tsgA	MFS transporter TsgA	CDS	-0.478974808860686	7.26113319516236	0.000171546302783529	0.025076166971702	1.60073884703824
EKN05_023985	orf13	hypothetical protein	CDS	0.97300975642347	7.52161771138178	0.000178097938679454	0.025076166971702	1.60073884703824
EKN05_024720	mxiI	protein MxiI	CDS	1.67285831642459	6.47530001074076	0.000182894679658155	0.025076166971702	1.60073884703824
EKN05_023720	pWR501_0065	hypothetical protein	CDS	1.23658849773435	6.9560461495697	0.000193770388754392	0.0256511904285556	1.59089247520885
EKN05_019650	iucA	IucA/IucC family siderophore biosynthesis protein	CDS	-0.521931284085528	6.15634317120149	0.000204279447213479	0.0261409599284182	1.5826784686315
EKN05_024670	spa15	surface presentation of antigens protein SpaK	CDS	1.46617562480644	6.90527711120685	0.000218940416043288	0.0271132986190382	1.56681764269621
EKN05_023010	greA	transcription elongation factor GreA	CDS	0.524671601911807	8.1615826994763	0.00024848239754208	0.0298101226301264	1.52563623740321
EKN05_024645	spa24	EscR/YscR/HrcR family type III secretion system export apparatus protein	CDS	1.18070631813471	7.25310182663661	0.000262598496956819	0.03054895847931	1.51500359178474
EKN05_018075	yjbJ	CsbD family protein	CDS	1.34424910061835	11.8774166932023	0.000274193614804414	0.0308015820781669	1.51142697602644
EKN05_005940	EKN05_005940	mannosyl-3-phosphoglycerate phosphatase-related protein	pseudo	0.454883003417476	7.90813196795558	0.000280816716003084	0.0308015820781669	1.51142697602644
EKN05_023770	EKN05_023770	IS1 family transposase	pseudo	0.671115899798877	7.36807358385875	0.000321884885695522	0.0343254465606975	1.46438380405231
EKN05_008205	EKN05_008205	DUF4186 domain-containing protein	CDS	0.833496166807415	5.68974724788901	0.000358451938299739	0.0365794442219659	1.43676289736061
EKN05_017645	treB	PTS trehalose transporter subunit IIBC	CDS	-0.50102295291249	6.85427008735113	0.000362078374689947	0.0365794442219659	1.43676289736061
EKN05_008045	mdtJ	multidrug/spermidine efflux SMR transporter subunit MdtJ	CDS	0.860836340944038	4.98573195178394	0.000392551162649779	0.0377868005700087	1.42265987848821
EKN05_013080	djlC	co-chaperone DjlC	CDS	0.642359683631391	5.77420420778775	0.000393715035894855	0.0377868005700087	1.42265987848821
EKN05_024695	mxiM	AraC family transcriptional activator MxiE	CDS	2.56624839769761	6.79829824274564	0.000450856044328151	0.0422155208335554	1.37452784825399
EKN05_001195	thyA	thymidylate synthase	CDS	-0.394769289295782	7.30383552018944	0.000462186658592045	0.0422460614841633	1.37421377323321
EKN05_018140	EKN05_018140	MmcQ/YjbR family DNA-binding protein	CDS	0.632406836283797	6.94884935004596	0.000483480597774866	0.0429661532753401	1.36687352660642
EKN05_006275	flhC	flagellar transcriptional regulator FlhC	CDS	0.843368244725137	4.63768980054462	0.000495651426505695	0.0429661532753401	1.36687352660642
EKN05_014615	yajQ	YajQ family cyclic di-GMP-binding protein	CDS	0.588981133590747	7.82037813846507	0.000503640765144648	0.0429661532753401	1.36687352660642
EKN05_024635	spa29	EscT/YscT/HrcT family type III secretion system export apparatus protein	CDS	0.699697167123308	8.83800487013549	0.000571296188891003	0.0476783928076643	1.32167839266646
EKN05_009030	yeaY	Slp family lipoprotein YeaY	CDS	0.579306596246187	6.88404599692522	0.000615297152523822	0.0493122972630681	1.30704476495143
EKN05_000430	yghA	NADP(+)-dependent aldehyde reductase	CDS	0.53083185752217	7.13332456183493	0.00061656427940278	0.0493122972630681	1.30704476495143
EKN05_024770	ipgC	type III secretion system translocator chaperone SicA	CDS	0.729672025106834	8.85753310199812	0.000681828935775442	0.0527774416239906	1.27755166594456
EKN05_005445	EKN05_005445	hypothetical protein	CDS	0.619879080842885	6.80487978821698	0.000687385277728453	0.0527774416239906	1.27755166594456
EKN05_024685	mxiD	EscC/YscC/HrcC family type III secretion system outer membrane ring protein	CDS	0.803310414956887	9.8311590256204	0.000739065437180825	0.0544438730500391	1.264050987355
EKN05_017100	priB	primosomal replication protein N	CDS	-0.467815319592393	7.22066365883866	0.000741235393025728	0.0544438730500391	1.264050987355
EKN05_021360	yiaG	HTH-type transcriptional regulator	CDS	0.683237913695618	11.2224964528052	0.00075163461100601	0.0544438730500391	1.264050987355
EKN05_023930	pWR501_0029	IS630 family transposase	pseudo	0.685719534841429	6.747498289129	0.000795676271933964	0.0565666890361942	1.24743924065843
EKN05_009655	EKN05_009655	hypothetical protein	CDS	-0.729763912886563	5.20056037938544	0.000910669014474882	0.0635646972103468	1.19678401742503
EKN05_024785	ipaD	type III secretion system needle tip complex protein IpaD	CDS	0.907972798591522	8.98418948100714	0.000957606838842274	0.0647411726163854	1.18881943875776
EKN05_011285	agp	bifunctional glucose-1-phosphatase/inositol phosphatase	CDS	0.446885601555072	8.43798503284172	0.000961252107094027	0.0647411726163854	1.18881943875776
EKN05_009870	EKN05_009870	hypothetical protein	CDS	1.30694245156628	5.53862687858836	0.000979949422586917	0.0648625143674341	1.18800622009819
EKN05_021410	hdeB	acid-activated periplasmic chaperone HdeB	CDS	0.790177860183097	10.1956864297875	0.00100851906401867	0.0656221133350456	1.18294978743717
EKN05_009595	pspE	thiosulfate sulfurtransferase PspE	CDS	0.688869089228179	6.68939652738649	0.00108352036043664	0.0693272443952707	1.1590960617039
EKN05_022740	EKN05_022740	hypothetical protein	CDS	0.651038996756975	6.34454929892587	0.00110414937331895	0.0693683809387341	1.15883844183576
EKN05_022380	rplV	50S ribosomal protein L22	CDS	-0.500648124050364	7.02347328279239	0.00112030206256877	0.0693683809387341	1.15883844183576
EKN05_024700	mxiL	Mxi-Spa secretion machinery protein MxiL	CDS	1.99855487001945	5.82490206584646	0.00117753801116597	0.0717550543629551	1.14414750219496
EKN05_019465	coaBC	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	CDS	-0.465521994532842	7.1056153078828	0.00130100913614352	0.0761039123419966	1.11859301649006
EKN05_024480	EKN05_024480	hypothetical protein	pseudo	0.608821571175945	5.52653332952271	0.00131065654175373	0.0761039123419966	1.11859301649006
EKN05_009050	EKN05_009050	DUF1889 family protein	CDS	0.821126365138646	6.11297907386064	0.00131497517536269	0.0761039123419966	1.11859301649006
EKN05_009110	mntP	manganese efflux pump MntP	CDS	0.644957024757854	7.02145918577065	0.00132820060612497	0.0761039123419966	1.11859301649006
EKN05_007930	hdhA	7-alpha-hydroxysteroid dehydrogenase	CDS	0.399072258826739	9.6997794106569	0.00144603374647416	0.0816371110693281	1.08811237226621
EKN05_006080	EKN05_006080	SOS response-associated peptidase	pseudo	0.618164582040977	6.61640262758089	0.00149804422978999	0.0827231142820772	1.08237312403178
EKN05_004950	EKN05_004950	damage-inducible protein DinI	CDS	0.486917620995337	7.26140964694832	0.00153157544125769	0.0827231142820772	1.08237312403178
EKN05_024775	ipaB	type III secretion system needle tip complex protein SipB	CDS	0.679921776102968	10.3581941435751	0.00156057366845336	0.0827231142820772	1.08237312403178
EKN05_009205	EKN05_009205	IS3 family transposase	pseudo	1.06636924766007	3.08396639670068	0.00159436112478627	0.0827231142820772	1.08237312403178
EKN05_007845	dtpA	dipeptide/tripeptide permease DtpA	CDS	-0.41318494695609	7.15929863512511	0.00161072350191564	0.0827231142820772	1.08237312403178
EKN05_010920	bssS	biofilm formation regulator BssS	CDS	0.563657549898018	9.32740328450829	0.00164976183019345	0.0827231142820772	1.08237312403178
EKN05_007655	EKN05_007655	monooxygenase	CDS	0.878360902849345	8.06105981944323	0.00167876435980983	0.0827231142820772	1.08237312403178
EKN05_002330	EKN05_002330	XRE family transcriptional regulator	CDS	0.758246812065161	7.88128126170738	0.00167944359900094	0.0827231142820772	1.08237312403178
EKN05_024765	ipgB1	protein IpgB	CDS	0.951391264665981	8.26564152449216	0.00168435097271951	0.0827231142820772	1.08237312403178
EKN05_018965	EKN05_018965	DUF406 domain-containing protein	CDS	0.576872781503389	5.63276937932623	0.00168865437588495	0.0827231142820772	1.08237312403178
EKN05_013670	citG	triphosphoribosyl-dephospho-CoA synthase	CDS	-0.748347911551272	3.69750973807593	0.00170229904357491	0.0827231142820772	1.08237312403178
EKN05_011620	EKN05_011620	fimbrial protein	CDS	-1.1478471950324	3.29229346264688	0.00176525835277164	0.0837948646503243	1.07678259619509
EKN05_012430	glnP	glutamine ABC transporter permease	CDS	-0.499889823567361	6.06926087899158	0.00176800834505764	0.0837948646503243	1.07678259619509
EKN05_014830	psiF	phosphate starvation-inducible protein PsiF	CDS	0.442276222759227	7.21291631052112	0.00181727539673194	0.0840960917654088	1.07522418689123
EKN05_005945	yodD	peroxide/acid resistance protein YodD	CDS	0.889193305534715	7.78439718223733	0.00186021872965315	0.0840960917654088	1.07522418689123
EKN05_015765	metQ	methionine ABC transporter substrate-binding protein MetQ	CDS	-0.44163439375276	8.19238449861941	0.0018661458173036	0.0840960917654088	1.07522418689123
EKN05_019240	mtlD	mannitol-1-phosphate 5-dehydrogenase	CDS	0.432472349960444	6.476014085415	0.00187086942753862	0.0840960917654088	1.07522418689123
EKN05_011495	EKN05_011495	CoA-binding protein	CDS	0.73779712798093	7.53442441015737	0.00188389265220765	0.0840960917654088	1.07522418689123
EKN05_008390	relE	type II toxin-antitoxin system mRNA interferase RelE	CDS	0.877723849372105	4.41225454596116	0.00193417428273011	0.0846693102323635	1.07227397824061
EKN05_000350	ygiW	OB fold stress tolerance protein YgiW	CDS	0.501426009700013	9.20320002674795	0.00194084378756134	0.0846693102323635	1.07227397824061
EKN05_010905	EKN05_010905	lipoprotein	CDS	0.456745161484437	7.68676666479766	0.00201028139817796	0.0859849212793491	1.06557770200453
EKN05_004160	elaB	stress response protein ElaB	CDS	0.470990792673393	11.5129091618737	0.00203354629517862	0.0859849212793491	1.06557770200453
EKN05_024705	mxiN	Putative membrane protein	CDS	1.76618545706243	7.61136586028235	0.00206869895724929	0.0859849212793491	1.06557770200453
EKN05_024740	ipgE	type III secretion system chaperone	CDS	1.06586355926919	6.38853186050297	0.00207721047052644	0.0859849212793491	1.06557770200453
EKN05_012555	EKN05_012555	Bax inhibitor-1/YccA family protein	CDS	0.508163635137871	5.84840263375857	0.00208298975748358	0.0859849212793491	1.06557770200453
EKN05_005165	EKN05_005165	DUF1508 domain-containing protein	CDS	0.554310923951288	7.67529219862269	0.00213523104769374	0.0861963129827217	1.06451131057325
EKN05_008105	dmsB	dimethylsulfoxide reductase subunit B	CDS	-0.891859528569978	3.25103954119754	0.00214029241185706	0.0861963129827217	1.06451131057325
EKN05_021090	sbp	sulfate ABC transporter substrate-binding protein	CDS	0.568259201376467	6.08822319730152	0.00216637322509919	0.0861963129827217	1.06451131057325
EKN05_007145	trg	methyl-accepting chemotaxis protein Trg	CDS	-0.503546244525548	5.13132358220938	0.00219169042193116	0.0861963129827217	1.06451131057325
EKN05_008165	marA	MDR efflux pump AcrAB transcriptional activator MarA	CDS	0.776478092574229	3.66956431338242	0.00220037475183817	0.0861963129827217	1.06451131057325
EKN05_021395	gadE	acid resistance transcriptional activator GadE	CDS	1.00373848907857	10.4481301812751	0.00225983877606259	0.0876315258717605	1.05733962614867
EKN05_003440	cysP	sulfate ABC transporter substrate-binding protein	CDS	-0.482493351651335	5.4259957211508	0.00233651993479758	0.0896990002968789	1.04721239717852
EKN05_024750	pWR501_0141	hypothetical protein	CDS	1.9330409568169	4.95207426655594	0.00248527666001821	0.094465119780296	1.02472852041424
EKN05_009880	EKN05_009880	ferritin-like domain-containing protein	CDS	0.814704965883967	6.6338572886094	0.00254935426871574	0.095950696447056	1.0179518686407
EKN05_024780	ipaC	IpaC/SipC family type III secretion system effector	CDS	0.799902697961414	10.2749702150751	0.00257520108452734	0.0959824947912664	1.01780796601019
EKN05_018500	metA	homoserine O-succinyltransferase	CDS	-0.713329129281828	4.44031473338661	0.00261056321728661	0.0963649249150316	1.0160810126508
EKN05_006215	ftnA	non-heme ferritin	CDS	0.83763505006377	8.20171825594242	0.00274154318757342	0.0991505499642882	1.00370487252481
EKN05_017340	frdD	fumarate reductase subunit FrdD	CDS	0.849878947522235	6.49001487278511	0.00277174937285414	0.0991505499642882	1.00370487252481
EKN05_021415	EKN05_021415	MgtC/SapB family protein	pseudo	0.829941797452595	8.14371991367852	0.00283654425732666	0.0991505499642882	1.00370487252481
EKN05_002950	iscX	Fe-S cluster assembly protein IscX	CDS	-0.521091128880731	5.48852628686624	0.00286125877926167	0.0991505499642882	1.00370487252481
EKN05_009200	EKN05_009200	serine/threonine-protein phosphatase	pseudo	0.604213566322453	5.78555865123887	0.0028777419155965	0.0991505499642882	1.00370487252481
EKN05_004285	glpQ	glycerophosphodiester phosphodiesterase	CDS	0.615896539714523	8.38862736234556	0.00289082834022317	0.0991505499642882	1.00370487252481
EKN05_009990	hns	DNA-binding transcriptional regulator H-NS	CDS	0.910836924070621	10.239419828876	0.00289610898116912	0.0991505499642882	1.00370487252481
EKN05_024505	virA	cysteine protease	CDS	0.743072791035249	8.66847965483801	0.00293978611085082	0.0991505499642882	1.00370487252481
EKN05_018105	qor	quinone oxidoreductase	CDS	0.417155150173589	8.0809448362715	0.00294928204615247	0.0991505499642882	1.00370487252481
EKN05_020775	EKN05_020775	DUF945 family protein	pseudo	-0.517809174391413	5.80084747374217	0.00295088148604697	0.0991505499642882	1.00370487252481
EKN05_024035	pWR501_0005	hypothetical protein	CDS	-0.611574278147107	6.95463121954952	0.00299572877765438	0.0991505499642882	1.00370487252481
EKN05_002855	EKN05_002855	DoxX family protein	pseudo	0.568629390541873	6.89511735208049	0.00299595305961381	0.0991505499642882	1.00370487252481
EKN05_022660	accC	acetyl-CoA carboxylase biotin carboxylase subunit	CDS	-0.403974469733447	8.76271578652526	0.00303311392567684	0.0995224304331059	1.0020790266364
EKN05_020535	EKN05_020535	hypothetical protein	CDS	-0.483695067866869	5.35641475896613	0.00305950154239236	0.0995375120444429	1.00201321871429
EKN05_011565	EKN05_011565	ribosome modulation factor	CDS	0.862166654419078	8.42292100320525	0.00309728195531443	0.0999198775332109	1.00034810692659
EKN05_012980	ybeF	DNA-binding transcriptional regulator	CDS	-0.564052991039584	5.84229114786859	0.00316066476208154	0.100951978666455	0.995885164432066
EKN05_010440	hflD	lysogenization regulator HflD	CDS	-0.485431328407692	6.85307708009277	0.00318186752243841	0.100951978666455	0.995885164432066
EKN05_001655	yqaB	fructose-1-phosphate/6-phosphogluconate phosphatase	CDS	0.539993563589848	6.69339516853515	0.00323687346498608	0.101855387148209	0.992015996149646
EKN05_011800	ihfB	integration host factor subunit beta	CDS	0.608193799172451	9.08345326812873	0.00335223285294195	0.104101716296257	0.982542110337213
EKN05_024070	icsP	omptin family outer membrane protease IcsP	CDS	0.714918377224238	7.62266519642423	0.00338563027932318	0.104101716296257	0.982542110337213
EKN05_003580	nupC	nucleoside permease NupC	CDS	-0.507467471313201	8.5729792798734	0.00340605583430845	0.104101716296257	0.982542110337213
EKN05_016015	thpR	RNA 2'	CDS	-0.556577653022139	5.7404091247613	0.00345351357176471	0.104101716296257	0.982542110337213
EKN05_012205	EKN05_012205	DUF1418 family protein	CDS	-0.60747090850007	4.98030987912445	0.00345900408825548	0.104101716296257	0.982542110337213
EKN05_024520	pWR501_0187	hypothetical protein	CDS	0.59633589569429	4.9294319976999	0.00349752869893867	0.104101716296257	0.982542110337213
EKN05_006760	yebF	protein YebF	CDS	0.472608406301607	10.0423548361321	0.00359699935856393	0.104101716296257	0.982542110337213
EKN05_007150	EKN05_007150	LysR family transcriptional regulator	CDS	-0.388039149087466	6.39467207672309	0.00360159602787744	0.104101716296257	0.982542110337213
EKN05_001470	smpB	SsrA-binding protein SmpB	CDS	-0.437963018680835	8.75074322988018	0.0037366462858309	0.104101716296257	0.982542110337213
EKN05_024565	pWR501_0178	IS110 family transposase	pseudo	0.519139432859044	6.66067877401094	0.00374515017302552	0.104101716296257	0.982542110337213
EKN05_022385	rpsC	30S ribosomal protein S3	CDS	-0.29940628425023	8.31106347259443	0.00375296480874594	0.104101716296257	0.982542110337213
EKN05_010175	dhaR	PTS-dependent dihydroxyacetone kinase operon transcriptional regulator DhaR	CDS	0.359357761442087	9.27174598284592	0.00377514760345561	0.104101716296257	0.982542110337213
EKN05_020450	aslB	anaerobic sulfatase maturase	CDS	0.656185555755489	6.10463752745132	0.00377975154390169	0.104101716296257	0.982542110337213
EKN05_001550	ygaP	thiosulfate sulfurtransferase YgaP	CDS	0.551837088912786	6.45815228526215	0.00378422911879815	0.104101716296257	0.982542110337213
EKN05_005760	EKN05_005760	antiterminator	pseudo	0.54496501363978	5.56740583185696	0.00379400152187068	0.104101716296257	0.982542110337213
EKN05_009095	manZ	PTS mannose transporter subunit IID	CDS	0.569262916215643	9.51628220962561	0.00380254468353917	0.104101716296257	0.982542110337213
EKN05_006540	EKN05_006540	hypothetical protein	pseudo	-0.828011150873586	7.62159449800541	0.00384133745583027	0.104101716296257	0.982542110337213
EKN05_000585	nupG	nucleoside permease	CDS	-0.398820689255718	7.40786106299482	0.00384265107969735	0.104101716296257	0.982542110337213
EKN05_006025	fliF	flagellar basal body M-ring protein FliF	pseudo	-0.443809244899248	6.14557859240774	0.00386044348442398	0.104101716296257	0.982542110337213
EKN05_007595	ldtE	L	CDS	0.514070400390435	9.70273911114343	0.00391376360057488	0.104101716296257	0.982542110337213
EKN05_011930	EKN05_011930	hydrolase	CDS	0.429239089108117	9.85833829959292	0.00394642135914168	0.104101716296257	0.982542110337213
EKN05_011480	EKN05_011480	acylphosphatase	CDS	0.446719279853844	5.54662012807098	0.00395681841803765	0.104101716296257	0.982542110337213
EKN05_000425	exbD	TonB system transport protein ExbD	CDS	-0.402070586208536	5.68115447739543	0.00396229382956076	0.104101716296257	0.982542110337213
EKN05_002965	sseA	3-mercaptopyruvate sulfurtransferase	pseudo	0.620005586422219	7.17879045673363	0.00396517054137636	0.104101716296257	0.982542110337213
EKN05_019490	EKN05_019490	YicC family protein	CDS	0.512497924840347	7.06959670436211	0.00398618189516796	0.104101716296257	0.982542110337213
EKN05_016470	apaH	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	CDS	0.366642975454005	7.38412608490122	0.00407984284923094	0.105827815528362	0.975400168380383
EKN05_014360	acrR	multidrug efflux transporter transcriptional repressor AcrR	CDS	-0.532213805786206	7.96339293370586	0.004185117426916	0.107829971825037	0.967260508267577
EKN05_018745	udhA	Si-specific NAD(P)(+) transhydrogenase	CDS	-0.334011582026757	8.40180712484456	0.00422366080824949	0.108097558952465	0.966184113127579
EKN05_018300	EKN05_018300	phnA family protein	CDS	0.622341592255241	7.44007145226121	0.0043032487767473	0.108421734051299	0.964883651077855
EKN05_019925	tnaC	tryptophanase leader peptide	CDS	-0.775658268879082	11.147960345239	0.00432047561460433	0.108421734051299	0.964883651077855
EKN05_010570	EKN05_010570	hypothetical protein	pseudo	-0.612383907139608	5.47112277595539	0.00432113776374781	0.108421734051299	0.964883651077855
EKN05_015630	tagK	type VI secretion system-associated protein TagK	pseudo	-0.484338598725502	6.20921939459949	0.00435822030995284	0.108421734051299	0.964883651077855
EKN05_011970	lrp	leucine-responsive transcriptional regulator Lrp	CDS	-0.347612718748454	9.12112593201361	0.00439870597157648	0.108421734051299	0.964883651077855
EKN05_023345	EKN05_023345	DoxX family protein	CDS	0.388211223489292	7.78532876866541	0.00443447026268723	0.108421734051299	0.964883651077855
EKN05_011550	matP	macrodomain Ter protein MatP	CDS	0.514081419934095	5.65988810169067	0.00443524661850865	0.108421734051299	0.964883651077855
EKN05_009400	EKN05_009400	DUF551 domain-containing protein	pseudo	0.772950728663898	4.90343947276702	0.00446226464707091	0.108421734051299	0.964883651077855
EKN05_016920	dnaT	primosomal protein DnaT	CDS	-0.641113827232392	7.20183843285672	0.00476874559331895	0.1151397127846	0.938774858224803
EKN05_001640	luxS	S-ribosylhomocysteine lyase	CDS	0.681719472259509	9.91132043570889	0.00481217582294665	0.115462143651826	0.937560383720144
EKN05_021405	hdeA	acid-activated periplasmic chaperone HdeA	CDS	0.559919078083035	10.7966668074671	0.00485154624986375	0.115683764305757	0.936727588042108
EKN05_023680	EKN05_023680	hypothetical protein	CDS	0.591117948802609	6.66721900033429	0.00503932684023188	0.116727404454922	0.932827171320914
EKN05_022640	dusB	tRNA dihydrouridine synthase DusB	CDS	0.403348993074616	7.74168337174522	0.00504137812793611	0.116727404454922	0.932827171320914
EKN05_021485	rsmJ	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	CDS	0.49653714292456	6.61833197148735	0.00505804356427756	0.116727404454922	0.932827171320914
EKN05_001540	EKN05_001540	YqaE/Pmp3 family membrane protein	CDS	1.11043101499733	7.53160017512924	0.0051007340085565	0.116727404454922	0.932827171320914
EKN05_005875	EKN05_005875	IS1 family transposase	pseudo	0.629789337136863	4.29518425533534	0.00512734199073951	0.116727404454922	0.932827171320914
EKN05_003800	sixA	phosphohistidine phosphatase SixA	CDS	0.332457005927322	8.5599373204851	0.00513038922938019	0.116727404454922	0.932827171320914
EKN05_009115	rlmA	23S rRNA (guanine(745)-N(1))-methyltransferase	CDS	0.407090577904909	7.64277707797323	0.00513693449707618	0.116727404454922	0.932827171320914
EKN05_011270	EKN05_011270	hypothetical protein	CDS	1.12401987292316	7.66598918878161	0.00513855987311326	0.116727404454922	0.932827171320914
EKN05_018935	zapB	septal ring assembly protein ZapB	CDS	0.380415042530494	8.28090005967018	0.0051865854718055	0.11712530368389	0.931349270058772
EKN05_002050	cysJ	NADPH-dependent assimilatory sulfite reductase flavoprotein subunit	CDS	-0.488737668956872	4.79611810658792	0.00535582133918375	0.120239755094306	0.919951916996162
EKN05_014705	secD	protein translocase subunit SecD	CDS	-0.380108420355675	8.73004013275363	0.00542588823911487	0.120442621125774	0.919219801747178
EKN05_014015	cusS	Cu(+)/Ag(+) sensor histidine kinase CusS	CDS	-0.358394218816736	7.10423552906752	0.00545678001942859	0.120442621125774	0.919219801747178
EKN05_022395	rpmC	50S ribosomal protein L29	CDS	-0.53175784049486	6.6898004163552	0.00545897787858418	0.120442621125774	0.919219801747178
EKN05_009645	puuD	gamma-glutamyl-gamma-aminobutyrate hydrolase	CDS	-0.508341793291065	7.5916342785529	0.00567722075487035	0.124393372450441	0.9052027577873
EKN05_001535	kbp	potassium binding protein Kbp	CDS	1.17289630652692	8.46478801935369	0.0057028480206506	0.124393372450441	0.9052027577873
EKN05_000620	ansB	L-asparaginase 2	CDS	0.380538583787713	7.5839188951516	0.00575440278200548	0.124808769944175	0.903754896988976
EKN05_004785	dusC	tRNA dihydrouridine(16) synthase DusC	CDS	0.384336832328302	6.25875510186337	0.005798405068073	0.125056612676024	0.90289333893725
EKN05_016130	EKN05_016130	UPF0231 family protein	CDS	0.743966254654817	5.8100946196646	0.00584943297085025	0.125452364106671	0.901521150142055
