locus_tag	gene_name	description	type	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_024690	mxiE	helix-turn-helix domain-containing protein	CDS	5.26486996756914	7.67538424754214	1.184822652064e-14	8.39885248495527e-12	11.0757800464971
EKN05_023925	ospD1	hypothetical protein	CDS	5.47596352135492	7.95642931861391	1.2654369135089e-14	8.39885248495527e-12	11.0757800464971
EKN05_024080	pWR501_0291	IS3 family transposase	pseudo	6.67561378463375	5.39821427549543	1.36140582310536e-14	8.39885248495527e-12	11.0757800464971
EKN05_024575	EKN05_024575	IS630 family transposase	pseudo	4.39401481800199	7.66093204742491	1.69971547598187e-14	8.39885248495527e-12	11.0757800464971
EKN05_024630	spa40	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	CDS	5.43086034286068	7.15927367109407	4.10383199876184e-14	1.16472439911663e-11	10.9337768266574
EKN05_024680	mxiC	YopN family type III secretion system gatekeeper subunit	CDS	4.3390130980248	9.32587195187935	4.24749715749747e-14	1.16472439911663e-11	10.9337768266574
EKN05_024830	tnpI	IS3 family transposase	pseudo	4.01868429804699	7.67151850893243	5.10228786375148e-14	1.22423019430887e-11	10.9121369133028
EKN05_024635	spa29	EscT/YscT/HrcT family type III secretion system export apparatus protein	CDS	4.93054579761261	8.83800487013549	6.73614436016165e-14	1.38238192671593e-11	10.8593719528013
EKN05_024625	spa-orf10	hypothetical protein	CDS	5.00727105198305	6.12286930125583	8.22537203813272e-14	1.57886016271958e-11	10.8016563331004
EKN05_023930	pWR501_0029	IS630 family transposase	pseudo	4.14259102967931	6.747498289129	9.73744553694027e-14	1.69918424619608e-11	10.7697595270945
EKN05_024075	EKN05_024075	non-LEE-encoded type III effector F	CDS	7.39114388003447	5.32367328041191	1.64304631004743e-13	2.52306191370883e-11	10.598072092149
EKN05_024040	phoN2	phosphatase PAP2 family protein	CDS	4.32987311182629	7.32717363903389	1.85664045098607e-13	2.74140103512905e-11	10.5620274275748
EKN05_023940	EKN05_023940	IS3 family transposase	pseudo	5.37037828328226	6.8922044364015	2.08522409621551e-13	2.96487974273013e-11	10.5279929171826
EKN05_024070	icsP	omptin family outer membrane protease IcsP	CDS	5.00514089832687	7.62266519642423	2.53612213292625e-13	3.47720459582282e-11	10.4587697550393
EKN05_024645	spa24	EscR/YscR/HrcR family type III secretion system export apparatus protein	CDS	5.23749003203706	7.25310182663661	2.70260190881866e-13	3.49115234638592e-11	10.4570311990944
EKN05_023995	pWR501_0014	ISL3 family transposase	pseudo	4.50355690051615	8.36083255527284	3.50863890846458e-13	4.2092702404986e-11	10.3757931910993
EKN05_024675	mxiA	EscV/YscV/HrcV family type III secretion system export apparatus protein	CDS	4.16946728407199	9.8215688503965	5.34708545207538e-13	5.70207251403261e-11	10.2439672640094
EKN05_024770	ipgC	type III secretion system translocator chaperone SicA	CDS	4.43383611010056	8.85753310199812	7.35356334132262e-13	7.42903412298357e-11	10.1290676468486
EKN05_024640	spa9	EscS/YscS/HrcS family type III secretion system export apparatus protein	CDS	5.05463182718229	5.43680116380308	7.62202684432283e-13	7.50281052701419e-11	10.1247760209111
EKN05_024800	virB	Virulence regulon transcriptional activator VirB	CDS	4.08894877913979	9.09724850903502	8.82635417162067e-13	7.74739613414799e-11	10.1108442374402
EKN05_024045	ospB	OspB	CDS	5.06989197142483	7.19574245153853	8.87953711650199e-13	7.74739613414799e-11	10.1108442374402
EKN05_024065	tnpC	conjugal transfer protein TraI	pseudo	5.612322271493	5.459736084711	1.14263426891554e-12	9.33313395397186e-11	10.0299725009076
EKN05_024650	spa33	surface presentation of antigens protein SpaO	CDS	4.98311417026631	7.97115710323005	1.48753444654263e-12	1.09823126290828e-10	9.95930619756408
EKN05_024795	acp	acyl carrier protein	CDS	5.01128236759676	8.0969236457889	1.82968430162218e-12	1.23937444741707e-10	9.90679746208352
EKN05_023795	pWR501_0049	IS3 family transposase	pseudo	2.53168329845826	6.12960889251261	2.25693387617113e-12	1.4332165138153e-10	9.8436881964468
EKN05_023915	pWR501_0031	hypothetical protein	CDS	3.45975274684727	7.51330760255725	2.28373809913542e-12	1.4332165138153e-10	9.8436881964468
EKN05_024775	ipaB	type III secretion system needle tip complex protein SipB	CDS	4.49421214827505	10.3581941435751	2.31465026977204e-12	1.4332165138153e-10	9.8436881964468
EKN05_024750	pWR501_0141	hypothetical protein	CDS	5.52785621787396	4.95207426655594	3.0803024073532e-12	1.79170923361045e-10	9.74673246815852
EKN05_024715	mxiJ	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein	CDS	4.92841099493715	7.81873811617337	3.21725566827414e-12	1.84343947917976e-10	9.73437111587708
EKN05_024005	ospD2	ShET2/EspL2 family type III secretion system effector toxin	CDS	4.81143487424757	6.28067165769449	3.95106366992034e-12	2.1066851984478e-10	9.67640035608211
EKN05_023895	pWR501_0033	IS3 family transposase	pseudo	2.54807482682757	8.81083733199342	4.06287755571619e-12	2.10775499140465e-10	9.67617987356629
