locus_tag	gene_name	description	type	genes	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_023785	virF	AraC family invasion system transcriptional regulator VirF	CDS	EKN05_023785	2.1551318190577	13.3450734966026	1.99545005910005e-37	8.5445171530664e-34	33.0683124740414
EKN05_024800	virB	Virulence regulon transcriptional activator VirB	CDS	EKN05_024800	2.14978595400669	12.19162971229	1.18854372973758e-35	2.54467212536816e-32	31.5943681674791
EKN05_024775	ipaB	type III secretion system needle tip complex protein SipB	CDS	EKN05_024775	-0.968931654231542	11.8460462443418	1.4119681385936e-23	2.01534918981927e-20	19.6956496948961
EKN05_024785	ipaD	type III secretion system needle tip complex protein IpaD	CDS	EKN05_024785	-1.28533626733597	9.78495815450368	1.00424834678686e-19	2.86679428062756e-17	16.542603470637
EKN05_024270	pWR501_0249	hypothetical protein	CDS	EKN05_024270	0.771678809889287	11.0713337518151	1.02861022274876e-17	2.0973852256239e-15	14.6783217955729
EKN05_024805	ipaJ	type III secretion system effector cysteine protease IpaJ	CDS	EKN05_024805	-0.593643549718859	12.0714191030668	2.14066597072485e-17	3.81930486943492e-15	14.4180156734338
EKN05_024790	ipaA	invasin IpaA	CDS	EKN05_024790	-0.622252559648713	11.7704918500805	4.62316956719869e-17	6.82634899542924e-15	14.1658115122902
EKN05_024770	ipgC	type III secretion system translocator chaperone SicA	CDS	EKN05_024770	-0.847861518698856	10.9643964533104	9.80348177806356e-17	1.19938597067623e-14	13.9210410354495
EKN05_023945	pWR501_0025	IS66 family transposase	pseudo	EKN05_023945	0.763589122747734	9.99924872327021	3.76072406047925e-16	3.74498149464469e-14	13.4265503239708
EKN05_023790	pWR501_0050	transposase	CDS	EKN05_023790	1.16168456187644	8.97771361748358	4.01197719251189e-16	3.90438325871271e-14	13.4084475580713
EKN05_024310	EKN05_024310	type II toxin-antitoxin system RelE/ParE family toxin	pseudo	EKN05_024310	1.1119660893621	8.65129197126683	5.87939538221048e-16	4.93638647580888e-14	13.3065908461911
EKN05_024255	rfbU	glycosyltransferase family 1 protein	CDS	EKN05_024255	0.495574366107996	12.7874097579072	2.55663402474114e-15	1.7946732613019e-13	12.7460146076595
EKN05_023740	pWR501_0063	DUF1778 domain-containing protein	CDS	EKN05_023740	2.98970164184204	6.12909885764183	7.56749689096648e-15	4.44963271573106e-13	12.3516758353369
EKN05_023630	ipgH	MFS transporter	pseudo	EKN05_023630	0.553872193721834	10.9541896084572	1.88314591919061e-14	9.37631491392346e-13	12.0279678148197
EKN05_023640	ipaH7.8	T3SS effector E3 ubiquitin-protein ligase IpaH7.8	CDS	EKN05_023640	-0.855218234672444	10.3052411267656	5.93100617138966e-14	2.38373362385071e-12	11.6227422775204
EKN05_024330	ccdB	type II toxin-antitoxin system toxin CcdB	CDS	EKN05_024330	0.93564167576137	8.94644595048084	9.4991644496098e-14	3.45511186942542e-12	11.4615378864989
EKN05_024725	mxiH	type III secretion system needle complex protein	CDS	EKN05_024725	-0.909917850795449	9.25936212316162	3.02498881987155e-13	9.45474607787588e-12	11.0243501303259
EKN05_024830	tnpI	IS3 family transposase	pseudo	EKN05_024830	-0.900771546089995	9.06765867195823	3.08722485070251e-13	9.54130595830341e-12	11.020392177532
EKN05_024020	pWR501_0008	IS66 family transposase	pseudo	EKN05_024020	1.10591617335448	8.23147185303763	3.46739583172547e-13	1.03106867718392e-11	10.9867124063667
EKN05_023875	pWR501_0034	IS4-like element ISSfl1 family transposase	CDS	EKN05_023875	0.658820241739689	10.0313884117589	3.93672233376795e-13	1.11567381810926e-11	10.9524627585357
EKN05_024765	ipgB1	protein IpgB	CDS	EKN05_024765	-0.47358624917902	11.21048865465	9.19297253287016e-13	2.31554755210294e-11	10.6353462959036
EKN05_024675	mxiA	EscV/YscV/HrcV family type III secretion system export apparatus protein	CDS	EKN05_024675	-0.418587151889385	11.6479255208862	1.85365301621171e-12	4.19965196582991e-11	10.3767866990265
EKN05_023890	EKN05_023890	IS1 family transposase	pseudo	EKN05_023890	0.915325316197336	8.19098735346952	1.0390522748983e-11	1.85472948994458e-10	9.73171942275577
EKN05_024265	EKN05_024265	integrase	CDS	EKN05_024265	1.41481597860846	7.05811292522578	1.53028758389439e-11	2.57698724106989e-10	9.58888773168063
EKN05_024470	ltrA	group II intron reverse transcriptase/maturase	pseudo	EKN05_024470	0.70354245935836	9.19366201439509	3.21240654776752e-11	4.84349466110582e-10	9.31484117464163
EKN05_024215	EKN05_024215	conjugative relaxase	CDS	EKN05_024215	0.974560805957665	8.31195046798374	7.16898255215701e-11	9.65332807809318e-10	9.01532293362298
EKN05_024105	insB	hypothetical protein	pseudo	EKN05_024105	0.561603605098145	9.86049070580667	1.12981043990644e-10	1.43983580466648e-09	8.84168703095552
EKN05_024540	EKN05_024540	IS91 family transposase	pseudo	EKN05_024540	1.94365474855446	6.36717820521234	1.23801213744408e-10	1.55459471335354e-09	8.80838281351545
EKN05_023860	pWR501_0037	IS1 family transposase	pseudo	EKN05_023860	1.09734489901698	7.94332887661136	2.06517477287386e-10	2.44283933078615e-09	8.61210509628798
EKN05_024035	pWR501_0005	hypothetical protein	CDS	EKN05_024035	0.782526162540102	9.19386836869059	2.66873377667198e-10	3.07191344938425e-09	8.51259102463803
EKN05_024840	ospC3	hypothetical protein	CDS	EKN05_024840	-0.522018613913092	10.1414498395855	5.1644335358327e-10	5.51473925197896e-09	8.25847501705948
EKN05_024350	pWR501_0082	IS1 family transposase	pseudo	EKN05_024350	0.649113823363888	9.20941382176752	7.82881309210565e-10	7.88775944950503e-09	8.10304634240578
EKN05_023915	pWR501_0031	hypothetical protein	CDS	EKN05_023915	0.677380966548476	8.74312335585743	7.85820651130003e-10	7.89878879844759e-09	8.10243949839038
EKN05_023655	pWR501_0080	IS630 family transposase	CDS	EKN05_023655	0.92037215869701	7.7773037802011	8.19793109561871e-10	8.18264357842408e-09	8.08710636551642
EKN05_024560	EKN05_024560	ISL3 family transposase	pseudo	EKN05_024560	1.27526551550185	6.86207568378333	9.0164851132806e-10	8.89598830761925e-09	8.05080579657359
EKN05_024630	spa40	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	CDS	EKN05_024630	-0.500043115331942	10.0237358904064	2.00963392624037e-09	1.77427886023943e-08	7.75097812185176
EKN05_024795	acp	acyl carrier protein	CDS	EKN05_024795	-0.800784544424546	8.59556249280109	2.1771618664394e-09	1.89099535742262e-08	7.72330953738881
EKN05_024005	ospD2	ShET2/EspL2 family type III secretion system effector toxin	CDS	EKN05_024005	-0.459033490428764	10.5829948290967	2.73182489318281e-09	2.31179331869739e-08	7.63605099575391
EKN05_024200	finO	fertility inhibition protein FinO	CDS	EKN05_024200	0.714667838176964	8.76019063501429	3.07527800951643e-09	2.56193393711077e-08	7.59143207331037
EKN05_024780	ipaC	IpaC/SipC family type III secretion system effector	CDS	EKN05_024780	-0.35118924904582	10.9766287486942	3.20795325623493e-09	2.64671596208053e-08	7.57729266342852
EKN05_024515	pWR501_0188	IS3 family transposase	pseudo	EKN05_024515	0.873309662810026	7.75551858055283	4.02315665020387e-09	3.23211196551088e-08	7.49051360298369
EKN05_024030	ospC	OspC family protein	pseudo	EKN05_024030	-0.619073471398295	8.66978148093138	1.37438743739906e-08	9.47685508364379e-08	7.02333576038553
EKN05_024190	EKN05_024190	hypothetical protein	pseudo	EKN05_024190	0.348507148381928	11.0753818420912	1.67125476272725e-08	1.12520642987391e-07	6.94876779476956
EKN05_024760	ipgA	chaperone protein IpgA	CDS	EKN05_024760	-0.357070525962267	10.8781938218776	1.8214954663757e-08	1.21869431047199e-07	6.91410521638658
EKN05_024180	yigB	hypothetical protein	CDS	EKN05_024180	0.473456917887633	9.80844502040553	1.90606849637789e-08	1.26735796606989e-07	6.89710070103485
EKN05_024835	EKN05_024835	hypothetical protein	CDS	EKN05_024835	-0.507977994510774	9.49291514861338	2.97229839624483e-08	1.86618500479771e-07	6.72904530454448
EKN05_024655	spa32	surface presentation of antigens protein SpaN	CDS	EKN05_024655	-0.486758685739458	9.83511617594425	3.05181211967552e-08	1.90771671481031e-07	6.7194861151292
EKN05_024165	hha	hemolysin expression modulator Hha	CDS	EKN05_024165	0.790301618555931	7.79254336571319	4.87143205576604e-08	2.88114255010914e-07	6.54043525362717
EKN05_023990	EKN05_023990	IS1 family transposase	pseudo	EKN05_023990	0.568349811142837	8.86162407994295	6.04500273124312e-08	3.49793266151122e-07	6.45618855535351
EKN05_023925	ospD1	hypothetical protein	CDS	EKN05_023925	-0.393524353150863	10.5614766689229	6.88458098432042e-08	3.92540289944874e-07	6.40611576107738
EKN05_023910	EKN05_023910	plasmid pRiA4b ORF-3 family protein	pseudo	EKN05_023910	0.474481656305221	9.19083702288525	6.95682264341745e-08	3.96131842541403e-07	6.40216024599714
EKN05_024240	pWR501_0254	IS630 family transposase	CDS	EKN05_024240	0.767348473655109	8.26110350258654	7.2882016969296e-08	4.11716090583807e-07	6.38540215968407
EKN05_023940	EKN05_023940	IS3 family transposase	pseudo	EKN05_023940	0.497141143285197	9.39127637485669	8.3390083557606e-08	4.64338540693978e-07	6.33316526783918
EKN05_023650	EKN05_023650	IS1 family transposase	pseudo	EKN05_023650	0.699819197979892	8.43148372542843	9.1243784865119e-08	4.99623896154015e-07	6.30135679824097
EKN05_024820	pWR501_0127	IS4 family transposase	pseudo	EKN05_024820	-0.83016638615406	7.57453995357802	9.19840695448488e-08	5.02392583917146e-07	6.29895678007427
EKN05_024755	icsB	Virulence protein IcsB	CDS	EKN05_024755	-0.241923854804701	11.99366255577	1.42677224201116e-07	7.42337635515406e-07	6.12939852074554
EKN05_024355	EKN05_024355	hypothetical protein	CDS	EKN05_024355	0.36304080260592	9.76438594664535	1.66583819857321e-07	8.53243919412739e-07	6.06892679800966
EKN05_024195	yigA	ANR family transcriptional regulator	CDS	EKN05_024195	0.583087171570929	9.07769736302167	1.67522488307313e-07	8.56003931899659e-07	6.0675242404649
EKN05_024230	traD	conjugal transfer protein TraD	CDS	EKN05_024230	1.3836556314389	6.31641659010699	1.77246805098471e-07	8.98190318854028e-07	6.04663163029193
