locus_tag	gene_name	description	type	genes	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_024500	icsA	autotransporter outer membrane beta-barrel domain-containing protein	CDS	EKN05_024500	-0.652515069974771	13.8584475332473	5.89636437737572e-23	2.52482322639228e-19	18.5977690232839
EKN05_024755	icsB	Virulence protein IcsB	CDS	EKN05_024755	-0.666073540274309	11.99366255577	1.41974322244126e-19	1.62839885382991e-16	15.7882392119765
EKN05_024790	ipaA	invasin IpaA	CDS	EKN05_024790	-0.737456443384698	11.7704918500805	1.52115726653891e-19	1.62839885382991e-16	15.7882392119765
EKN05_024745	ipgD	type III secretion system effector inositol phosphate phosphatase	CDS	EKN05_024745	-0.594868531160875	12.5079021373854	1.17219334495793e-18	7.49059802689633e-16	15.1254835081466
EKN05_024675	mxiA	EscV/YscV/HrcV family type III secretion system export apparatus protein	CDS	EKN05_024675	-0.669820177059788	11.6479255208862	1.17563587343259e-18	7.49059802689633e-16	15.1254835081466
EKN05_024260	shf	carbohydrate transporter	CDS	EKN05_024260	-0.608623192479434	11.8503408900676	1.22452559991299e-18	7.49059802689633e-16	15.1254835081466
EKN05_024485	ushA	bifunctional UDP-sugar hydrolase/5'-nucleotidase	CDS	EKN05_024485	-0.577622200446533	12.301157404016	3.40617599001531e-18	1.82315569865569e-15	14.7391762407364
EKN05_024685	mxiD	EscC/YscC/HrcC family type III secretion system outer membrane ring protein	CDS	EKN05_024685	-0.649561095760137	11.470485194329	9.08025332010136e-18	4.32018274629712e-15	14.3644978818819
EKN05_023710	ospC2	hypothetical protein	CDS	EKN05_023710	-0.551025678777567	12.3966081983242	1.09360944141766e-17	4.54208388144842e-15	14.3427448496597
EKN05_024245	msbB	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	CDS	EKN05_024245	-0.736214946613518	11.0007085834707	1.16681276730342e-17	4.54208388144842e-15	14.3427448496597
EKN05_024505	virA	cysteine protease	CDS	EKN05_024505	-0.573629243555026	12.1353183427355	9.38217012967563e-17	3.10469597864678e-14	13.5079809208531
EKN05_023850	parA	ParA family protein	CDS	EKN05_023850	-0.748303153863204	10.896709356966	9.42574678244003e-17	3.10469597864678e-14	13.5079809208531
