locus_tag,com_id,description,type,length,n_TIS,n_nz,log2CPM,log2FC,z,FDR
EKN05_000070,EKN05_000070,mRNA interferase HigB,CDS,316,6,3,9.73219181556549,-0.587402663415707,-0.559685517700149,0.836942166358852
EKN05_000075,higA,type II toxin-antitoxin system antitoxin HigA,CDS,418,3,1,7.51512343096927,1.22576492241321,0.46722927727165,0.949165978646563
EKN05_000080,ygjL,NADPH-dependent 2,CDS,2020,19,11,9.92965051770158,-0.723282174494314,-1.92665055150982,0.399498595605341
EKN05_000085,EKN05_000085,alpha-glucosidase,pseudo,2353,31,24,9.33707212613803,-0.24349951169628,-0.741417004954226,0.795821865134665
EKN05_000090,ygjJ,protein YgjJ,pseudo,1073,47,27,9.5196305608029,-0.372023442108914,-1.34305610941504,0.63747134779572
EKN05_000095,ygjI,amino acid permease,CDS,1435,96,57,9.84425313952963,-0.00286732032639072,-0.0142751520079367,0.897637266536186
EKN05_000100,ebgC,beta-galactosidase subunit beta,CDS,451,43,25,8.98614681077322,0.127390188514752,0.401676140337689,0.934381110540308
EKN05_000105,ebgA,beta-galactosidase subunit alpha,CDS,3088,56,34,10.6131617074486,0.0633778095505085,0.271852821172382,0.933832240731746
EKN05_000110,ebgR,transcriptional regulator EbgR,CDS,985,6,4,10.8100519272293,0.0999118252837079,0.12729063976641,0.899453662718234
EKN05_000115,EKN05_000115,tRNA-binding protein,pseudo,333,5,1,10.4888381167859,0.617589614451268,0.321113040682523,0.937691926252262
EKN05_000120,ygjG,putrescine aminotransferase,CDS,1492,30,18,10.1236484391745,-0.0185930208784647,-0.0457320797182257,0.889446661074641
EKN05_000125,EKN05_000125,PAS domain S-box protein,pseudo,1522,20,10,7.26277965943133,-1.05189492282288,-1.99875876663752,0.366578941964927
EKN05_000130,EKN05_000130,PadR family transcriptional regulator,CDS,625,5,3,3.04832148729579,-1.04963133430372,-0.938063279373404,0.748454604706701
EKN05_000135,nfeF,NADPH-dependent ferric chelate reductase,pseudo,747,8,4,8.81111991106219,-0.520298588978839,-0.624283685669887,0.820656697496016
EKN05_000145,ygjF,G/U mismatch-specific DNA glycosylase,CDS,508,9,5,9.83086425769717,-0.809909519572012,-1.11424002461762,0.711909550905632
EKN05_000175,EKN05_000175,L-tartrate/succinate antiporter,CDS,1465,23,14,6.4644953541775,0.485792208990857,0.96935117875021,0.963873006638822
EKN05_000180,ttdB,L(+)-tartrate dehydratase subunit beta,CDS,607,4,2,5.46728835026277,-1.98690125073789,-1.4626528540444,0.582323179304201
EKN05_000185,ttdA,L(+)-tartrate dehydratase subunit alpha,pseudo,845,22,15,11.4659027351028,-0.0659636961417976,-0.155382296720705,0.877548115710236
EKN05_000190,ttdR,DNA-binding transcriptional activator TtdR,pseudo,933,65,39,9.57042814316679,0.060474169376463,0.249001984805837,0.928256503902542
