locus_tag	gene_name	description	type	genes	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_021815	gntR	HTH-type transcriptional regulator GntR	CDS	EKN05_021815	1.68394430445375	10.2342809056632	1.92521133503493e-23	2.0609387341549e-20	19.6859349183683
EKN05_009120	cspE	transcription antiterminator/RNA stability regulator CspE	CDS	EKN05_009120	1.41059120800936	10.2154666331146	3.17046007908244e-23	2.39660612014137e-20	19.6204033359727
EKN05_015135	crl	sigma factor-binding protein Crl	CDS	EKN05_015135	1.56880142255098	9.65262032016619	3.35815897264087e-23	2.39660612014137e-20	19.6204033359727
EKN05_019205	yiaY	L-threonine dehydrogenase	CDS	EKN05_019205	1.82355489130687	9.59674722509779	4.06046637623093e-23	2.48384528900298e-20	19.6048754585054
EKN05_023240	EKN05_023240	2-dehydro-3-deoxyglucarate aldolase	CDS	EKN05_023240	1.83793187739361	8.4831806452183	2.84138624404228e-21	1.52085198712363e-18	17.8179130504462
EKN05_002350	EKN05_002350	replication protein P	CDS	EKN05_002350	1.30817225432718	9.24532199154868	2.19928875720366e-20	9.62182915529028e-18	17.0167423586758
EKN05_021070	cpxR	envelope stress response regulator transcription factor CpxR	CDS	EKN05_021070	1.67407855260527	8.76320382405973	2.26778214606826e-20	9.62182915529028e-18	17.0167423586758
EKN05_007235	yncL	stress response membrane protein YncL	CDS	EKN05_007235	2.05556174222742	8.31693844012287	2.47174499552062e-20	9.62182915529028e-18	17.0167423586758
EKN05_010455	phoQ	Virulence sensor protein PhoQ	CDS	EKN05_010455	1.29486690354002	9.84425284541355	6.7175545629261e-20	2.26188377031992e-17	16.6455297155934
EKN05_012630	ybhC	putative acyl-CoA thioester hydrolase	CDS	EKN05_012630	1.38938908381695	9.01393363998792	6.86699883562796e-20	2.26188377031992e-17	16.6455297155934
EKN05_019640	EKN05_019640	hypothetical protein	CDS	EKN05_019640	1.23538430407902	9.89054978118566	9.91700023509849e-20	2.86679428062756e-17	16.542603470637
EKN05_016080	EKN05_016080	PTS sugar transporter subunit IIA	CDS	EKN05_016080	1.70882228643992	8.58378831047316	1.62767823712134e-19	4.35607388209598e-17	16.360904762912
EKN05_015400	EKN05_015400	baseplate J/gp47 family protein	CDS	EKN05_015400	1.75106508243028	8.06275913640543	1.94604293758254e-19	4.90173874042849e-17	16.309649840088
EKN05_016805	deoA	thymidine phosphorylase	CDS	EKN05_016805	1.54880968078001	8.49865332073073	5.57358386472434e-19	1.32589367270831e-16	15.8774913018796
EKN05_016945	EKN05_016945	GntR family transcriptional regulator	pseudo	EKN05_016945	1.02080604595622	9.53028026426527	9.5247135921654e-18	2.0973852256239e-15	14.6783217955729
EKN05_004570	EKN05_004570	hypothetical protein	CDS	EKN05_004570	1.78623685387737	7.90321418089125	9.93545168945186e-18	2.0973852256239e-15	14.6783217955729
EKN05_002895	csiE	stationary phase inducible protein CsiE	CDS	EKN05_002895	1.42657849309012	8.23280737044917	1.31616089504581e-17	2.56172770572099e-15	14.5914670346957
EKN05_017730	EKN05_017730	DUF898 domain-containing protein	CDS	EKN05_017730	0.991285580256249	9.55871245213909	1.54443287351778e-17	2.87533111495789e-15	14.5413121359765
EKN05_012550	EKN05_012550	UPF0104 family protein	CDS	EKN05_012550	1.5363064189943	8.32962912470383	2.3035716054777e-17	3.9455574458622e-15	14.4038916290683
EKN05_020485	cyaY	iron donor protein CyaY	CDS	EKN05_020485	1.81598323951346	7.47307723436185	3.05166061848173e-17	5.02585029551491e-15	14.2987904518358
EKN05_022515	rsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	CDS	EKN05_022515	1.48216198460091	8.58629918850082	3.36204915681477e-17	5.32842240204113e-15	14.2734013544826
EKN05_002880	hcaA1	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	CDS	EKN05_002880	1.62866725870427	8.10157540354124	3.4842556575701e-17	5.32842240204113e-15	14.2734013544826
EKN05_016430	rapA	RNA polymerase-associated protein RapA	CDS	EKN05_016430	1.10094145802123	9.32181434359002	4.96132040214397e-17	7.08145798732683e-15	14.1498773170754
EKN05_021630	nikE	nickel import ATP-binding protein NikE	CDS	EKN05_021630	1.8351261824432	7.96147498945442	6.55168580211642e-17	9.04978019505242e-15	14.0433619689976
EKN05_019125	yiaO	2	CDS	EKN05_019125	1.23851950024396	8.91968182809064	6.91753440384716e-17	9.25652572414797e-15	14.0335519876116
EKN05_007135	EKN05_007135	IS3 family transposase	pseudo	EKN05_007135	1.67971026716582	7.83433944459643	7.79284297777534e-17	1.01118041305558e-14	13.9951713514275
EKN05_015790	nlpE	envelope stress response activation lipoprotein NlpE	CDS	EKN05_015790	1.78777737789656	7.56629017540191	9.06865426300782e-17	1.14211698688822e-14	13.9422894090868
EKN05_013295	kdpB	K(+)-transporting ATPase subunit B	pseudo	EKN05_013295	1.27916611739506	8.8641331437881	1.10353844025568e-16	1.312597666993e-14	13.8818683719921
EKN05_004785	dusC	tRNA dihydrouridine(16) synthase DusC	CDS	EKN05_004785	1.33016334994826	8.52651032365094	1.75406187623499e-16	2.02997106865898e-14	13.692510151649
EKN05_000370	ftsP	cell division protein FtsP	CDS	EKN05_000370	-1.4702050849009	7.99880899644364	2.02170118704471e-16	2.22744926207097e-14	13.6521921797506
EKN05_007360	adhP	alcohol dehydrogenase AdhP	pseudo	EKN05_007360	1.65847594067096	7.56653621505124	2.02873706727622e-16	2.22744926207097e-14	13.6521921797506
EKN05_018960	uspD	universal stress protein UspD	CDS	EKN05_018960	0.926716162977277	9.39636151283616	2.61647890283177e-16	2.80094066548141e-14	13.5526960910789
EKN05_014225	fetA	iron ABC transporter ATP-binding protein FetA	CDS	EKN05_014225	1.05889303010883	9.42630242253018	2.91583797211686e-16	3.04527273087912e-14	13.5163738064098
EKN05_016995	hpaX	4-hydroxyphenylacetate permease	CDS	EKN05_016995	0.909350327707268	9.33345114236675	3.40972602911932e-16	3.47629687064022e-14	13.4588831425296
EKN05_022265	kefB	glutathione-regulated potassium-efflux system protein KefB	CDS	EKN05_022265	1.16437874278667	8.75308912152074	4.21673160276456e-16	4.0124543828973e-14	13.3965898919998
EKN05_001615	EKN05_001615	branched-chain amino acid ABC transporter permease	CDS	EKN05_001615	1.77360027565854	7.74569314880948	4.55870410825375e-16	4.2435589112049e-14	13.3722697643525
EKN05_018555	EKN05_018555	DUF1481 domain-containing protein	CDS	EKN05_018555	1.54915511303229	7.90249545622511	4.96678001842123e-16	4.47762117484319e-14	13.3489526523011
EKN05_020900	yihV	sulfofructose kinase	CDS	EKN05_020900	1.80185732318603	7.51655596744808	5.06806023593555e-16	4.47762117484319e-14	13.3489526523011
EKN05_004670	yeiL	transcriptional regulator YeiL	CDS	EKN05_004670	1.12005266354742	9.39722710871643	5.12385421689202e-16	4.47762117484319e-14	13.3489526523011
EKN05_023180	EKN05_023180	YraN family protein	CDS	EKN05_023180	1.51941612523674	8.12031525618814	5.84329652358217e-16	4.93638647580888e-14	13.3065908461911
EKN05_003700	evgA	acid-sensing system DNA-binding response regulator EvgA	CDS	EKN05_003700	-1.04699057751572	9.10919131427079	7.37396944826113e-16	5.97788785078467e-14	13.2234522368782
