seq,pos,locus_tag,k,type,TI,sample,raw,it_g,N,cpm,logcpm,exp_id,TI_exp_id,raw_out,N_out,alpha_in,alpha_sa
CP037923,16567,EKN05_000085,6,pseudo,CP037923_16567_pos,Lib25_INPUT,2456,1,913963,2687.74262443597,7.89645694722093,24,CP037923_16567_pos:24,3995,774851,7.80628928926703,7.56787557185129
CP037923,16690,EKN05_000085,17,pseudo,CP037923_16690_pos,Lib5_INPUT,1473,1,635104,2320.08880421348,7.74936074160601,5,CP037923_16690_pos:5,4378,780000,7.29505641646263,7.1698748844074
CP037923,16843,EKN05_000085,31,pseudo,CP037923_16843_pos,Lib23_INPUT,969,1,966877,1002.71182093294,6.91046342956275,22,CP037923_16843_pos:22,0,830628,6.87626461189077,7.6861248028235
CP037923,16858,EKN05_000085,33,pseudo,CP037923_16858_pos,Lib13_INPUT,1615,1,370737,4357.52472096197,8.37965945057647,12,CP037923_16858_pos:12,10497,864046,7.38709023565676,6.72318927488589
CP037923,16858,EKN05_000085,33,pseudo,CP037923_16858_pos,Lib6_INPUT,690,1,772013,894.413831873515,6.79616856725611,6,CP037923_16858_pos:6,0,937539,6.53669159759131,7.36519910098532
CP037923,16873,EKN05_000085,36,pseudo,CP037923_16873_pos,Lib31_INPUT,1794,1,863081,2079.17671785531,7.63972728561901,30,CP037923_16873_pos:30,0,1167327,7.49220304261874,7.45440333649965
CP037923,17357,EKN05_000085,50,pseudo,CP037923_17357_pos,Lib28_INPUT,2230,1,811448,2748.78643020079,7.91891479515115,27,CP037923_17357_pos:27,1023,904506,7.70975686445417,7.34389673424134
CP037923,17532,EKN05_000085,60,pseudo,CP037923_17532_pos,Lib28_INPUT,2317,1,811448,2856.00204079369,7.95717803802284,27,CP037923_17532_pos:27,4061,904506,7.74802852443238,7.34389673424134
CP037923,17612,EKN05_000085,64,pseudo,CP037923_17612_pos,Lib28_INPUT,3232,1,811448,3983.61449702939,8.28994485122884,27,CP037923_17612_pos:27,148,904506,8.08085641964099,7.34389673424134
CP037923,17737,EKN05_000085,68,pseudo,CP037923_17737_pos,Lib2_INPUT,943,1,476765,1978.95823108191,7.59032583930702,2,CP037923_17737_pos:2,0,667885,6.84906628263346,6.92099838123182
CP037923,17846,EKN05_000085,72,pseudo,CP037923_17846_pos,Lib41_INPUT,1080,1,1009050,1070.8081157444,6.97616889075868,40,CP037923_17846_pos:40,4262,1199919,6.98471632011827,7.50367352774096
CP037923,18025,EKN05_000085,80,pseudo,CP037923_18025_pos,Lib30_INPUT,3621,1,737595,4909.8693593783,8.49900261338333,29,CP037923_18025_pos:29,5337,1166960,8.19450550976564,7.10929972376241
CP037923,18110,EKN05_000085,86,pseudo,CP037923_18110_pos,Lib13_INPUT,905,1,370737,2442.4256483015,7.80074694263539,12,CP037923_18110_pos:12,99,864046,6.80793494369993,6.72318927488589
CP037923,18152,EKN05_000085,87,pseudo,CP037923_18152_pos,Lib27_INPUT,2125,1,633476,3355.291510189,8.11829393391408,26,CP037923_18152_pos:26,2595,700764,7.66152708135852,7.1349507612624
CP037923,18177,EKN05_000085,88,pseudo,CP037923_18177_pos,Lib12_INPUT,2570,1,789507,3255.82514680029,8.08820102383777,11,CP037923_18177_pos:11,0,996918,7.85166117788927,7.32990476513694
CP037923,18533,EKN05_000085,101,pseudo,CP037923_18533_pos,Lib12_INPUT,1282,1,789507,1624.42939146912,7.39291188938714,11,CP037923_18533_pos:11,1327,996918,7.15617663748062,7.32990476513694
CP037923,18695,EKN05_000085,109,pseudo,CP037923_18695_pos,Lib4_INPUT,1768,1,675391,2618.4793423671,7.87034902457905,4,CP037923_18695_pos:4,2636,775217,7.47760424319759,7.23223754400253
CP037923,18907,EKN05_000090,9,pseudo,CP037923_18907_pos,Lib41_INPUT,1658,2,1009050,1643.62356313011,7.40465857319884,40,CP037923_18907_pos:40,0,1199919,7.41336733569524,7.50367352774096
CP037923,18931,EKN05_000090,11,pseudo,CP037923_18931_pos,Lib19_INPUT,2041,2,879027,2322.45161701334,7.75037863818395,18,CP037923_18931_pos:18,0,916251,7.62119516280985,7.67644657475536
CP037923,19004,EKN05_000090,18,pseudo,CP037923_19004_pos,Lib9_INPUT,3514,2,836953,4199.15550914387,8.34263871480287,9,CP037923_19004_pos:9,0,900441,8.16451026874704,7.39588421952353
CP037923,19139,EKN05_000090,25,pseudo,CP037923_19139_pos,Lib31_INPUT,3079,2,863081,3568.02713994731,8.17976810015844,30,CP037923_19139_pos:30,0,1167327,8.0323601479245,7.45440333649965
CP037923,19148,EKN05_000090,27,pseudo,CP037923_19148_pos,Lib37_INPUT,344,2,738995,466.17302394059,6.14455686122219,36,CP037923_19148_pos:36,0,673182,5.8406416573734,7.54535950849226
CP037923,19148,EKN05_000090,27,pseudo,CP037923_19148_pos,Lib9_INPUT,2463,2,836953,2943.41146586312,7.98732455017093,9,CP037923_19148_pos:9,3165,900441,7.80913539812054,7.39588421952353
CP037923,19359,EKN05_000090,35,pseudo,CP037923_19359_pos,Lib22_INPUT,3544,2,939112,3774.30618040641,8.23597185152125,21,CP037923_19359_pos:21,1642,909664,8.17301131172497,7.59139291222457
CP037923,19401,EKN05_000090,38,pseudo,CP037923_19401_pos,Lib35_INPUT,4734,2,953207,4966.91173385033,8.51055354443412,34,CP037923_19401_pos:34,0,959632,8.46252579007393,7.50962474144772
CP037923,19516,EKN05_000090,44,pseudo,CP037923_19516_pos,Lib8_INPUT,29,2,596093,49.4888390086127,3.90174716957795,8,CP037923_19516_pos:8,0,1006888,3.36729582998647,7.17635022499901
CP037923,19526,EKN05_000090,46,pseudo,CP037923_19526_pos,Lib30_INPUT,3800,2,737595,5152.54963421711,8.54724694575405,29,CP037923_19526_pos:29,5952,1166960,8.24275634571448,7.10929972376241
CP037923,19526,EKN05_000090,46,pseudo,CP037923_19526_pos,Lib33_INPUT,3994,2,870559,4588.42584083808,8.43129229016662,32,CP037923_19526_pos:32,236,814153,8.29254851397576,7.62119894142806
CP037923,19526,EKN05_000090,46,pseudo,CP037923_19526_pos,Lib9_INPUT,1852,2,836953,2213.38329227174,7.70227752535715,9,CP037923_19526_pos:9,0,900441,7.52402141520613,7.39588421952353
CP037923,19573,EKN05_000090,56,pseudo,CP037923_19573_pos,Lib18_INPUT,1880,2,680756,2762.3660131295,7.92384284261518,17,CP037923_19573_pos:17,0,863289,7.539027055824,7.48724475201277
CP037923,19583,EKN05_000090,59,pseudo,CP037923_19583_pos,Lib31_INPUT,531,2,863081,615.816341900306,6.42294877281335,30,CP037923_19583_pos:30,299,1167327,6.27476202124194,7.45440333649965
CP037923,19587,EKN05_000090,60,pseudo,CP037923_19587_pos,Lib9_INPUT,739,2,836953,883.561103716572,6.78396045033776,9,CP037923_19587_pos:9,3084,900441,6.6052979209482,7.39588421952353
CP037923,19618,EKN05_000090,65,pseudo,CP037923_19618_pos,Lib30_INPUT,1890,2,737595,2563.05619878633,7.84895565307894,29,CP037923_19618_pos:29,0,1166960,7.54433210805369,7.10929972376241
CP037923,19650,EKN05_000090,66,pseudo,CP037923_19650_pos,Lib10_INPUT,2406,2,850145,2830.69025790864,7.94827586828493,10,CP037923_19650_pos:10,367,909723,7.78572089653462,7.45862141839146
