locus_tag	gene_name	description	type	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_017505	ytfE	iron-sulfur cluster repair protein YtfE	CDS	-3.78591565268623	7.72893680380434	1.42315936828052e-14	9.54410384046227e-12	11.0202648441602
EKN05_022185	nirB	nitrite reductase large subunit	CDS	2.9864463807587	8.8656151772778	2.03092736161282e-14	1.11381859160452e-11	10.9531855372419
EKN05_014170	gcl	glyoxylate carboligase	CDS	-2.88012181610953	8.55391872662139	1.810535527402e-12	2.39677444472286e-10	9.62037283456099
EKN05_002810	hmpA	NO-inducible flavohemoprotein	pseudo	-3.08505519811428	7.88689018751517	2.08871906975103e-12	2.58664274476587e-10	9.58726354990383
EKN05_022175	nirC	nitrite transporter NirC	CDS	3.27689584821964	6.37710692284096	5.67962763792975e-12	5.33306437768701e-10	9.27302317373219
EKN05_012065	priS	hydroxylamine reductase	CDS	-5.1967268901959	8.78147881902463	5.69564051797779e-12	5.33306437768701e-10	9.27302317373219
EKN05_011195	phoH	phosphate starvation-inducible protein PhoH	CDS	-2.95142328239519	9.72320882532802	2.33272630913635e-11	1.66920401162516e-09	8.77749058021208
EKN05_009085	manX	PTS mannose transporter subunit IIAB	CDS	1.69059375273482	8.6982548528766	2.34792958134302e-11	1.66920401162516e-09	8.77749058021208
EKN05_014315	htpG	molecular chaperone HtpG	CDS	1.89707186976631	8.99356929138622	2.83756457464441e-11	1.9806200731018e-09	8.703198823795
EKN05_016635	dnaK	molecular chaperone DnaK	CDS	2.08237439976889	10.7513536076957	2.91043148508806e-11	1.99520472700948e-09	8.70001253494026
EKN05_021910	malT	HTH-type transcriptional regulator MalT	CDS	1.81088476405174	9.55908996167371	4.37653439268e-11	2.84771449720314e-09	8.54550355383594
EKN05_010715	ptsG	PTS glucose transporter subunit IIBC	CDS	1.93631169277299	9.3923801201759	6.16227171359629e-11	3.69640017320252e-09	8.43222101807804
EKN05_022180	nirD	nitrite reductase small subunit NirD	CDS	2.78895777450435	6.66151779359688	8.48248362880072e-11	5.00988533091784e-09	8.30017221439614
EKN05_020325	ilvC	ketol-acid reductoisomerase	CDS	2.54644312478308	9.19089330643427	2.09346983085457e-10	1.07157742408676e-08	7.9699764446512
EKN05_001880	EKN05_001880	nitrous oxide-stimulated promoter family protein	CDS	-1.90827148361513	6.33620419184362	2.33316309772352e-10	1.13379913065324e-08	7.94546388034262
EKN05_018980	gadA	glutamate decarboxylase	CDS	-2.88936533963983	9.70248954491834	2.7079718413992e-10	1.28324920297049e-08	7.89168899680858
EKN05_012435	glnQ	glutamine ABC transporter ATP-binding protein GlnQ	CDS	1.74684513596044	7.00745599088997	2.74098553382599e-10	1.28324920297049e-08	7.89168899680858
EKN05_020830	glnA	glutamate--ammonia ligase	CDS	1.51864670395611	7.41622876010135	4.49967720973766e-10	2.03226597743328e-08	7.69201945338995
EKN05_021400	hdeD	HdeD family acid-resistance protein	CDS	-2.07343091077967	9.69973520086713	5.43434960248995e-10	2.39798484183436e-08	7.62015356649509
EKN05_009090	manY	PTS mannose/fructose/sorbose transporter subunit IIC	CDS	1.82509912456517	8.07210069034321	7.69289084770466e-10	3.31831550161103e-08	7.47908232413004
EKN05_022165	EKN05_022165	DUF4223 domain-containing protein	CDS	2.4687297956995	4.7342792104154	9.23464597221604e-10	3.93908954303749e-08	7.40460414673463
EKN05_007420	gadB	glutamate decarboxylase	CDS	-1.72885955306144	10.9231722805324	1.14390442139346e-09	4.82576821288957e-08	7.31643354158192
EKN05_007415	gadC	glutamate:gamma-aminobutyrate antiporter	CDS	-2.08495896924595	11.1495169837623	1.6708479953458e-09	6.82680175268694e-08	7.16578270868549
EKN05_022385	rpsC	30S ribosomal protein S3	CDS	1.21637312925586	8.31106347259443	2.58765462428657e-09	1.02412434047795e-07	6.98964731181216
EKN05_022360	rplD	50S ribosomal protein L4	CDS	1.87150456566127	7.49586259043815	3.54149441335102e-09	1.38732622988312e-07	6.85782140253252
EKN05_003455	cysA	sulfate/thiosulfate ABC transporter ATP-binding protein CysA	CDS	1.8147379852458	6.08328187784595	3.66990078079626e-09	1.42310596944211e-07	6.84676275962728
EKN05_012070	EKN05_012070	NADH oxidoreductase	CDS	-5.09443365401903	8.52386388405587	4.34034997703947e-09	1.66626035618545e-07	6.77825713833114
EKN05_022170	cobA	uroporphyrinogen-III C-methyltransferase	CDS	2.41868764437509	7.49214077214072	6.09111322168308e-09	2.2925278096119e-07	6.63968538739721
EKN05_019330	gpmM	2	CDS	1.5152634154192	7.12558397995756	7.06132233467097e-09	2.63188509153416e-07	6.5797330760011
EKN05_014165	EKN05_014165	hydroxypyruvate isomerase	pseudo	-3.14992621996979	4.8661945208086	7.35536904581029e-09	2.71512132373709e-07	6.56621075942603
EKN05_021405	hdeA	acid-activated periplasmic chaperone HdeA	CDS	-2.11026756075602	10.7966668074671	7.84467482089694e-09	2.86816253689746e-07	6.54239624112226
EKN05_021585	EKN05_021585	DUF2776 family protein	pseudo	-2.3345373818151	6.47103303917973	8.19943558153158e-09	2.96958803749998e-07	6.52730379494204
EKN05_013805	fepD	Fe(3+)-siderophore ABC transporter permease	CDS	-2.88106384439941	6.19888987181829	8.42338851016456e-09	3.02218584023568e-07	6.51967883354189
EKN05_012430	glnP	glutamine ABC transporter permease	CDS	1.7433319572392	6.06926087899158	1.0093118474454e-08	3.58772979846563e-07	6.44518027227625
EKN05_007585	sufS	cysteine desulfurase SufS	CDS	-1.0857410931518	7.33386318689527	1.05521459356335e-08	3.71648516026579e-07	6.42986759697311
EKN05_020330	ppiC	peptidylprolyl isomerase C	CDS	1.67498486288624	7.25277875993617	1.09182563380376e-08	3.81047146197512e-07	6.41902128661655
EKN05_014180	allA	ureidoglycolate lyase	CDS	-1.61004251605405	6.8316022816789	1.12812808264562e-08	3.90169703538427e-07	6.40874645635849
EKN05_018475	iclR	glyoxylate bypass operon transcriptional repressor IclR	CDS	-1.2928888102596	7.86753456901677	1.23387948788275e-08	4.22934228034098e-07	6.37372716601223
EKN05_018495	aceB	malate synthase A	pseudo	-1.23747699748974	6.08859836206187	1.63707730167199e-08	5.46499109662502e-07	6.26241054125129
