iter	seq	start	end	strand	locus_tag	com_id	type	description
1	CP037923.1	11	164	1	EKN05_000005	EKN05_000005	CDS	pilin protein
2	CP037923.1	376	1010	1	EKN05_000010	EKN05_000010	pseudo	pilus assembly protein CblD
3	CP037923.1	1097	1744	-1	EKN05_000015	EKN05_000015	pseudo	MFS transporter
4	CP037923.1	1765	2393	-1	EKN05_000020	EKN05_000020	pseudo	MFS transporter
5	CP037923.1	2876	4289	1	EKN05_000025	uxaC	CDS	glucuronate isomerase
6	CP037923.1	4303	5791	1	EKN05_000030	uxaA	CDS	altronate dehydratase
7	CP037923.1	5873	6425	1	EKN05_000035	EKN05_000035	CDS	YgjV family protein
8	CP037923.1	6429	7674	-1	EKN05_000040	sstT	CDS	serine/threonine transporter SstT
9	CP037923.1	8269	9235	-1	EKN05_000045	alx	CDS	TerC family membrane protein Alx
10	CP037923.1	9505	10504	-1	EKN05_000050	EKN05_000050	CDS	Gfo/Idh/MocA family oxidoreductase
11	CP037923.1	10582	11275	-1	EKN05_000055	EKN05_000055	CDS	vancomycin high temperature exclusion protein
12	CP037923.1	11351	11855	-1	EKN05_000060	EKN05_000060	pseudo	M48 family peptidase
13	CP037923.1	11939	13076	1	EKN05_000065	rlmG	CDS	23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG
14	CP037923.1	13360	13675	1	EKN05_000070	EKN05_000070	CDS	mRNA interferase HigB
15	CP037923.1	13671	14088	1	EKN05_000075	higA	CDS	type II toxin-antitoxin system antitoxin HigA
16	CP037923.1	14132	16151	-1	EKN05_000080	ygjL	CDS	NADPH-dependent 2
17	CP037923.1	16376	18728	-1	EKN05_000085	EKN05_000085	pseudo	alpha-glucosidase
18	CP037923.1	18744	19816	-1	EKN05_000090	ygjJ	pseudo	protein YgjJ
19	CP037923.1	19950	21384	-1	EKN05_000095	ygjI	CDS	amino acid permease
20	CP037923.1	21446	21896	-1	EKN05_000100	ebgC	CDS	beta-galactosidase subunit beta
21	CP037923.1	21892	24979	-1	EKN05_000105	ebgA	CDS	beta-galactosidase subunit alpha
22	CP037923.1	25161	26145	-1	EKN05_000110	ebgR	CDS	transcriptional regulator EbgR
23	CP037923.1	26364	26696	1	EKN05_000115	EKN05_000115	pseudo	tRNA-binding protein
24	CP037923.1	26737	28228	-1	EKN05_000120	ygjG	CDS	putrescine aminotransferase
25	CP037923.1	28534	30055	1	EKN05_000125	EKN05_000125	pseudo	PAS domain S-box protein
26	CP037923.1	30208	30832	-1	EKN05_000130	EKN05_000130	CDS	PadR family transcriptional regulator
27	CP037923.1	31108	31854	1	EKN05_000135	nfeF	pseudo	NADPH-dependent ferric chelate reductase
28	CP037923.1	32107	32614	1	EKN05_000145	ygjF	CDS	G/U mismatch-specific DNA glycosylase
29	CP037923.1	32647	33976	-1	EKN05_000150	EKN05_000150	CDS	IS4 family transposase
30	CP037923.1	34131	35973	-1	EKN05_000155	rpoD	CDS	RNA polymerase sigma factor RpoD
31	CP037923.1	36167	37913	-1	EKN05_000160	dnaG	CDS	DNA primase
32	CP037923.1	38023	38239	-1	EKN05_000165	rpsU	CDS	30S ribosomal protein S21
33	CP037923.1	38476	39490	1	EKN05_000170	tsaD	CDS	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
34	CP037923.1	39532	40996	-1	EKN05_000175	EKN05_000175	CDS	L-tartrate/succinate antiporter
35	CP037923.1	41043	41649	-1	EKN05_000180	ttdB	CDS	L(+)-tartrate dehydratase subunit beta
