locus_tag	gene_name	description	type	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_013415	sdhC	succinate dehydrogenase cytochrome b556 subunit	CDS	-4.00260235036931	8.00319581573725	6.40490578025314e-15	8.39885248495527e-12	11.0757800464971
EKN05_024690	mxiE	helix-turn-helix domain-containing protein	CDS	5.26486996756914	7.67538424754214	1.184822652064e-14	8.39885248495527e-12	11.0757800464971
EKN05_023925	ospD1	hypothetical protein	CDS	5.47596352135492	7.95642931861391	1.2654369135089e-14	8.39885248495527e-12	11.0757800464971
EKN05_024080	pWR501_0291	IS3 family transposase	pseudo	6.67561378463375	5.39821427549543	1.36140582310536e-14	8.39885248495527e-12	11.0757800464971
EKN05_011195	phoH	phosphate starvation-inducible protein PhoH	CDS	-5.68032470040572	9.72320882532802	1.36394923078222e-14	8.39885248495527e-12	11.0757800464971
EKN05_022185	nirB	nitrite reductase large subunit	CDS	3.05392885037407	8.8656151772778	1.62099384339376e-14	8.39885248495527e-12	11.0757800464971
EKN05_024575	EKN05_024575	IS630 family transposase	pseudo	4.39401481800199	7.66093204742491	1.69971547598187e-14	8.39885248495527e-12	11.0757800464971
EKN05_010030	narI	respiratory nitrate reductase subunit gamma	CDS	5.327833727354	8.96055412899595	1.87744757719835e-14	8.39885248495527e-12	11.0757800464971
EKN05_009635	puuC	aldehyde dehydrogenase PuuC	CDS	-5.26994909848144	7.29076408828144	1.96899380996607e-14	8.39885248495527e-12	11.0757800464971
EKN05_021765	ugpB	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB	CDS	-4.40248959940855	8.38094862515957	2.58823871456866e-14	9.9362484252291e-12	11.0027775588384
EKN05_013425	sdhA	succinate dehydrogenase flavoprotein subunit	CDS	-3.86739137507918	9.479525209514	3.73616640139189e-14	1.16472439911663e-11	10.9337768266574
EKN05_010280	dadA	D-amino acid dehydrogenase	CDS	-3.81925917047386	7.43187170835697	3.8271779572111e-14	1.16472439911663e-11	10.9337768266574
EKN05_024630	spa40	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	CDS	5.43086034286068	7.15927367109407	4.10383199876184e-14	1.16472439911663e-11	10.9337768266574
EKN05_024680	mxiC	YopN family type III secretion system gatekeeper subunit	CDS	4.3390130980248	9.32587195187935	4.24749715749747e-14	1.16472439911663e-11	10.9337768266574
EKN05_009650	EKN05_009650	glutamine synthetase	CDS	-3.2447866431338	7.72951744051554	4.80245524866534e-14	1.22423019430887e-11	10.9121369133028
EKN05_024830	tnpI	IS3 family transposase	pseudo	4.01868429804699	7.67151850893243	5.10228786375148e-14	1.22423019430887e-11	10.9121369133028
EKN05_007420	gadB	glutamate decarboxylase	CDS	4.12268230794498	10.9231722805324	5.67978029803044e-14	1.28262803318464e-11	10.8918992723524
EKN05_024635	spa29	EscT/YscT/HrcT family type III secretion system export apparatus protein	CDS	4.93054579761261	8.83800487013549	6.73614436016165e-14	1.38238192671593e-11	10.8593719528013
EKN05_013430	sdhB	succinate dehydrogenase iron-sulfur subunit	CDS	-3.52850567645525	9.78880324005865	6.84169226559069e-14	1.38238192671593e-11	10.8593719528013
