locus_tag	gene_name	description	type	genes	logFC	logCPM	PValue	FDR	m_log10FDR
EKN05_019665	iucD	lysine 6-monooxygenase	CDS	EKN05_019665	-1.82259713512557	8.57806312088057	4.73510472878611e-22	1.01378592243311e-18	17.994053743742
EKN05_010370	minD	septum site-determining protein MinD	CDS	EKN05_010370	-1.84921072587151	7.67667980480361	5.45681042530653e-16	1.06209373823466e-13	12.9738371516147
EKN05_001965	nlpD	murein hydrolase activator NlpD	CDS	EKN05_001965	1.37597780951648	8.83397118157055	6.74576707998839e-16	1.20355727652126e-13	12.9195332371004
EKN05_018750	oxyR	DNA-binding transcriptional regulator OxyR	CDS	EKN05_018750	-3.63065279831618	6.53395999513662	9.06839538527119e-16	1.49349496306659e-13	12.8257962377509
EKN05_019920	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	CDS	EKN05_019920	-2.43034580346291	7.40647488351714	1.73621084389649e-15	2.56360511502233e-13	12.5911488705629
EKN05_005385	rfbB	dTDP-glucose 4	CDS	EKN05_005385	0.764078824042636	10.6845640080277	1.87656668824343e-15	2.6077304284344e-13	12.5837373053843
EKN05_020835	typA	ribosome-dependent GTPase TypA	CDS	EKN05_020835	-2.53266768186481	6.86481530020838	3.88411218104395e-15	5.19742761225944e-13	12.2842115506382
EKN05_001245	EKN05_001245	N-acetylmuramoyl-L-alanine amidase	CDS	EKN05_001245	1.11131987596121	8.06656301306242	1.55029577927352e-13	1.35476867894882e-11	10.8681348524149
EKN05_009160	prc	carboxy terminal-processing peptidase	CDS	EKN05_009160	1.09061049214078	8.45136343320445	2.51820062784877e-13	2.11430099773499e-11	10.6748331852642
EKN05_016005	mrcB	bifunctional glycosyl transferase/transpeptidase	CDS	EKN05_016005	-1.99371489339775	7.51946063679408	4.00595273569677e-13	3.23650747438747e-11	10.4899233856856
EKN05_019655	iucB	N-acetyltransferase	CDS	EKN05_019655	-1.36603648008057	7.64526381623882	8.10257857060895e-13	6.308225716245e-11	10.2000927754627
EKN05_009935	cls	cardiolipin synthase	CDS	EKN05_009935	0.955858411730369	8.67578597169353	9.07915713855087e-13	6.9423126548705e-11	10.158495831283
EKN05_018425	EKN05_018425	sugar-binding transcriptional regulator	CDS	EKN05_018425	0.719258006642573	9.34757363678342	1.62153987143135e-12	1.13826782450312e-10	9.94375554020911
