locus_tag	logFC_M90T_37vs30	FDR_M90T_37vs30	logFC_enr37vs30	FDR_enr37vs30	gene_name	seq	description	type
EKN05_013415	-4.00260235036931	8.39885248495527e-12	0.698920035762704	0.383885052002858	sdhC	CP037923.1	succinate dehydrogenase cytochrome b556 subunit	CDS
EKN05_024690	5.26486996756914	8.39885248495527e-12	-0.0625102909285882	0.34058024576739	mxiE	CP037924.1	helix-turn-helix domain-containing protein	CDS
EKN05_023925	5.47596352135492	8.39885248495527e-12	-0.393524353150863	3.92540289944874e-07	ospD1	CP037924.1	hypothetical protein	CDS
EKN05_024080	6.67561378463375	8.39885248495527e-12	-0.256380531817935	0.00788572564791304	pWR501_0291	CP037924.1	IS3 family transposase	pseudo
EKN05_011195	-5.68032470040572	8.39885248495527e-12	1.12268464754971	3.25806536372532e-12	phoH	CP037923.1	phosphate starvation-inducible protein PhoH	CDS
EKN05_022185	3.05392885037407	8.39885248495527e-12	0.054595427964982	0.65411066617956	nirB	CP037923.1	nitrite reductase large subunit	CDS
EKN05_024575	4.39401481800199	8.39885248495527e-12	0.477662837190759	0.000840978234866263	EKN05_024575	CP037924.1	IS630 family transposase	pseudo
EKN05_010030	5.327833727354	8.39885248495527e-12	-2.3682735868793	2.32247975229512e-06	narI	CP037923.1	respiratory nitrate reductase subunit gamma	CDS
EKN05_009635	-5.26994909848144	8.39885248495527e-12	0.655063871629471	0.000148331355129862	puuC	CP037923.1	aldehyde dehydrogenase PuuC	CDS
EKN05_021765	-4.40248959940855	9.9362484252291e-12	0.631668081270229	1.25972132951012e-05	ugpB	CP037923.1	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB	CDS
EKN05_013425	-3.86739137507918	1.16472439911663e-11	-0.948645238204434	0.0171133875506531	sdhA	CP037923.1	succinate dehydrogenase flavoprotein subunit	CDS
EKN05_010280	-3.81925917047386	1.16472439911663e-11	-1.36976380058353	3.45731749708354e-07	dadA	CP037923.1	D-amino acid dehydrogenase	CDS
EKN05_024630	5.43086034286068	1.16472439911663e-11	-0.500043115331942	1.77427886023943e-08	spa40	CP037924.1	EscU/YscU/HrcU family type III secretion system export apparatus switch protein	CDS
EKN05_024680	4.3390130980248	1.16472439911663e-11	-0.286066303517764	1.77233341743962e-05	mxiC	CP037924.1	YopN family type III secretion system gatekeeper subunit	CDS
EKN05_009650	-3.2447866431338	1.22423019430887e-11	0.595846758404969	2.48698244119451e-05	EKN05_009650	CP037923.1	glutamine synthetase	CDS
EKN05_024830	4.01868429804699	1.22423019430887e-11	-0.900771546089995	9.54130595830341e-12	tnpI	CP037924.1	IS3 family transposase	pseudo
EKN05_007420	4.12268230794498	1.28262803318464e-11	0.12023043635669	0.360730307436586	gadB	CP037923.1	glutamate decarboxylase	CDS
EKN05_024635	4.93054579761261	1.38238192671593e-11	0.199570395241203	0.00338122862063516	spa29	CP037924.1	EscT/YscT/HrcT family type III secretion system export apparatus protein	CDS
EKN05_013430	-3.52850567645525	1.38238192671593e-11	-0.368313427599014	0.431612869034853	sdhB	CP037923.1	succinate dehydrogenase iron-sulfur subunit	CDS
EKN05_024625	5.00727105198305	1.57886016271958e-11	0.394377793636411	1.5508350481113e-05	spa-orf10	CP037924.1	hypothetical protein	CDS
EKN05_008785	-5.82444635300409	1.69918424619608e-11	-0.484185879105126	0.0216587094996962	astC	CP037923.1	succinylornithine/acetylornithine transaminase	pseudo
EKN05_023930	4.14259102967931	1.69918424619608e-11	0.0925208875226053	0.507456643628054	pWR501_0029	CP037924.1	IS630 family transposase	pseudo
EKN05_016105	-3.15353166993887	1.73423240697582e-11	0.175266309648451	0.0706608227541954	gcd	CP037923.1	pyrroloquinoline quinone-dependent dehydrogenase	CDS
EKN05_022175	5.10213735413721	2.00477915565476e-11	0.146844992410235	0.191343072538962	nirC	CP037923.1	nitrite transporter NirC	CDS
EKN05_024075	7.39114388003447	2.52306191370883e-11	-0.335052641397831	0.00518754309842189	EKN05_024075	CP037924.1	non-LEE-encoded type III effector F	CDS
EKN05_024040	4.32987311182629	2.74140103512905e-11	-0.000892337634509035	0.991553330777306	phoN2	CP037924.1	phosphatase PAP2 family protein	CDS
EKN05_023940	5.37037828328226	2.96487974273013e-11	0.497141143285197	4.64338540693978e-07	EKN05_023940	CP037924.1	IS3 family transposase	pseudo
EKN05_024070	5.00514089832687	3.47720459582282e-11	0.104754168878815	0.0201299317680442	icsP	CP037924.1	omptin family outer membrane protease IcsP	CDS
EKN05_024645	5.23749003203706	3.49115234638592e-11	-0.00558522297064174	0.924546760226732	spa24	CP037924.1	EscR/YscR/HrcR family type III secretion system export apparatus protein	CDS
EKN05_010040	4.78709159561139	3.49115234638592e-11	0.43684170982862	0.00336818571854034	narH	CP037923.1	nitrate reductase subunit beta	CDS
EKN05_021045	-3.99428107188511	3.49115234638592e-11	0.195752834793157	0.570584326680002	sodA	CP037923.1	superoxide dismutase [Mn]	CDS
EKN05_023995	4.50355690051615	4.2092702404986e-11	0.130149695836761	0.235687908135481	pWR501_0014	CP037924.1	ISL3 family transposase	pseudo
EKN05_010275	-3.86415397089171	4.32776031228037e-11	0.451909970785113	0.00509076881484935	alr	CP037923.1	alanine racemase	CDS
EKN05_022180	4.82397152947694	5.39520908254465e-11	-1.82917385648403	1.17647127387899e-06	nirD	CP037923.1	nitrite reductase small subunit NirD	CDS
EKN05_018205	-4.58660093208985	5.58614029519693e-11	-0.202241106304063	0.177862032783649	acs	CP037923.1	acetate--CoA ligase	CDS
EKN05_024675	4.16946728407199	5.70207251403261e-11	-0.418587151889385	4.19965196582991e-11	mxiA	CP037924.1	EscV/YscV/HrcV family type III secretion system export apparatus protein	CDS
EKN05_008780	-4.52980681612033	7.42903412298357e-11	-0.817189124040853	0.000919548502938116	astA	CP037923.1	arginine N-succinyltransferase	CDS
EKN05_024770	4.43383611010056	7.42903412298357e-11	-0.847861518698856	1.19938597067623e-14	ipgC	CP037924.1	type III secretion system translocator chaperone SicA	CDS
EKN05_024640	5.05463182718229	7.50281052701419e-11	0.1440527490947	0.0481018682814623	spa9	CP037924.1	EscS/YscS/HrcS family type III secretion system export apparatus protein	CDS
EKN05_004455	3.68657038924145	7.7186792363128e-11	-0.429499604083516	0.00173039302714455	napA	CP037923.1	periplasmic nitrate reductase subunit alpha	CDS
EKN05_010035	6.01577505636667	7.74739613414799e-11	-1.5627411122263	0.000305840729306511	narJ	CP037923.1	nitrate reductase molybdenum cofactor assembly chaperone	CDS
EKN05_024800	4.08894877913979	7.74739613414799e-11	2.14978595400669	2.54467212536816e-32	virB	CP037924.1	Virulence regulon transcriptional activator VirB	CDS
EKN05_004740	-4.49121164446983	7.74739613414799e-11	0.317351663390555	6.49182364825668e-05	mglA	CP037923.1	galactose/methyl galactoside ABC transporter ATP-binding protein MglA	CDS
